onset	duration	trial_type	ResponseButtonCode	ReactionTime	TaskLevel	TargetNontarget	onset_block	onset_trial
0.0	5.0	L3	0	0.0	3	0	4.0373E-4	0.0
5.0	1.2	L3	33	0.78307	3	0	0.0	5.0002
6.2	1.2	L3	0	0.0	3	0	0.0	6.2
7.4	1.2	L3	0	0.0	3	0	0.0	7.4
8.6	1.2	L3	0	0.0	3	0	0.0	8.6
9.8	1.2	L3	33	0.65824	3	1	0.0	9.8
11.0	1.2	L3	0	0.0	3	0	0.0	11.0
12.2	1.2	L3	33	0.80999	3	0	0.0	12.2
13.4	1.2	L3	0	0.0	3	1	0.0	13.4
14.6	1.2	L3	0	0.0	3	0	0.0	14.6
15.8	1.2	L3	33	0.59003	3	1	0.0	15.8
17.0	1.2	L3	0	0.0	3	0	0.0	17.0
18.2	1.2	L3	0	0.0	3	0	0.0	18.2
19.4	1.2	L3	0	0.0	3	0	0.0	19.4
20.6	1.2	L3	33	0.66425	3	1	0.0	20.6
21.8	1.2	L3	0	0.0	3	0	0.0	21.8
23.0	1.2	L3	0	0.0	3	0	0.0	23.0
24.2	5.0	L1	0	0.0	1	0	24.106	0.0
29.2	1.2	L1	0	0.0	1	0	0.0	29.2
30.4	1.2	L1	0	0.0	1	0	0.0	30.4
31.6	1.2	L1	33	0.45777	1	1	0.0	31.6
32.8	1.2	L1	0	0.0	1	0	0.0	32.8
34.0	1.2	L1	0	0.0	1	0	0.0	34.0
35.2	1.2	L1	0	0.0	1	0	0.0	35.2
36.4	1.2	L1	0	0.0	1	0	0.0	36.4
37.6	1.2	L1	0	0.0	1	0	0.0	37.6
38.8	1.2	L1	33	0.57791	1	1	0.0	38.8
40.0	1.2	L1	0	0.0	1	0	0.0	40.0
41.2	1.2	L1	0	0.0	1	0	0.0	41.2
42.4	1.2	L1	0	0.0	1	0	0.0	42.4
43.6	1.2	L1	33	0.45727	1	1	0.0	43.6
44.8	1.2	L1	0	0.0	1	0	0.0	44.8
46.0	1.2	L1	33	0.49736	1	1	0.0	46.0
47.2	1.2	L1	0	0.0	1	0	0.0	47.2
48.4	5.0	L2	0	0.0	2	0	48.305	0.0
53.4	1.2	L2	33	1.0345	2	0	0.0	53.4
54.6	1.2	L2	0	0.0	2	0	0.0	54.6
55.8	1.2	L2	33	0.45694	2	1	0.0	55.8
57.0	1.2	L2	0	0.0	2	0	0.0	57.0
58.2	1.2	L2	0	0.0	2	0	0.0	58.2
59.4	1.2	L2	0	0.0	2	0	0.0	59.4
60.6	1.2	L2	33	0.54364	2	1	0.0	60.6
61.8	1.2	L2	0	0.0	2	0	0.0	61.8
63.0	1.2	L2	0	0.0	2	0	0.0	63.0
64.2	1.2	L2	33	0.57	2	1	0.0	64.2
65.4	1.2	L2	0	0.0	2	0	0.0	65.4
66.6	1.2	L2	33	0.6656	2	1	0.0	66.6
67.8	1.2	L2	0	0.0	2	0	0.0	67.8
69.0	1.2	L2	0	0.0	2	0	0.0	69.0
70.2	1.2	L2	0	0.0	2	0	0.0	70.2
71.4	1.2	L2	0	0.0	2	0	0.0	71.4
72.6	5.0	REST	0	0.0	4	0	72.505	0.0
77.6	1.2	REST	0	0.0	4	0	0.0	77.6
78.8	1.2	REST	0	0.0	4	0	0.0	78.8
80.0	1.2	REST	0	0.0	4	0	0.0	80.0
81.2	1.2	REST	0	0.0	4	0	0.0	81.2
82.4	1.2	REST	0	0.0	4	0	0.0	82.4
83.6	1.2	REST	0	0.0	4	0	0.0	83.6
84.8	1.2	REST	0	0.0	4	0	0.0	84.8
86.0	1.2	REST	0	0.0	4	0	0.0	86.0
87.2	1.2	REST	0	0.0	4	0	0.0	87.2
88.4	1.2	REST	0	0.0	4	0	0.0	88.4
89.6	1.2	REST	0	0.0	4	0	0.0	89.6
90.8	1.2	REST	0	0.0	4	0	0.0	90.8
92.0	1.2	REST	0	0.0	4	0	0.0	92.0
93.2	1.2	REST	0	0.0	4	0	0.0	93.2
94.4	1.2	REST	0	0.0	4	0	0.0	94.4
95.6	1.2	REST	0	0.0	4	0	0.0	95.6
96.8	5.0	L2	0	0.0	2	0	95.81	0.0
101.8	1.2	L2	33	0.60067	2	1	0.0	101.8
103.0	1.2	L2	0	0.0	2	0	0.0	103.0
104.2	1.2	L2	33	0.7224	2	1	0.0	104.2
105.4	1.2	L2	0	0.0	2	0	0.0	105.4
106.6	1.2	L2	33	0.64171	2	1	0.0	106.6
107.8	1.2	L2	0	0.0	2	0	0.0	107.8
